video_id,start,end,text
jkKOCL7rA1Q,0.031,3.176, This country banned killing animals.
jkKOCL7rA1Q,3.597,8.385,"In the whole country, you cannot kill a cow, a sheep, or a chicken."
jkKOCL7rA1Q,10.108,18.462,"This is Bhutan, a very Buddhist country that did something extraordinary."
jkKOCL7rA1Q,19.69,26.44," They said in the entire kingdom, we should have compassion for all living beings, including animals."
jkKOCL7rA1Q,26.46,31.467,So there are no commercial slaughterhouses in Bhutan.
jkKOCL7rA1Q,31.688,33.951,This doesn't mean everyone is vegetarian.
jkKOCL7rA1Q,34.031,36.835,"In fact, many Bhutanese people eat meat."
jkKOCL7rA1Q,37.316,38.017,I eat meat.
jkKOCL7rA1Q,38.237,39.119,I eat meat.
jkKOCL7rA1Q,39.139,40.821,"Yes, they eat meat."
jkKOCL7rA1Q,40.801,44.124, And some farmers do produce meat.
jkKOCL7rA1Q,44.405,56.957,"But the vast, vast majority of meat is imported from outside countries into Bhutan just to avoid killing animals in the country."
jkKOCL7rA1Q,57.278,59.96,It is illegal to kill a cow in the country.
jkKOCL7rA1Q,59.98,62.263,"In Bhutan, it's totally safe to be an animal."
jkKOCL7rA1Q,62.283,68.369,The best place in the world to be born as a cow or a chicken or a fish is Bhutan.
jkKOCL7rA1Q,68.769,69.61,That's one minute!
DrX5Q7TDqyk,0.031,27.692, हम एक बहुत अच्छा बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत बहुत
jNsnwcpMIXQ,0.031,2.174, Here are three items I bought for my next international trip.
jNsnwcpMIXQ,2.255,3.416,"First, this hero clip."
jNsnwcpMIXQ,3.436,7.803,I was so sick of not having a place to hang my backpack in some very questionable bathroom situations.
jNsnwcpMIXQ,7.904,10.247,"And as a solo traveler, you can't always just leave it with someone."
jNsnwcpMIXQ,10.347,13.773,"It's got a lot of movement, so you can position it how you need it, and it can hang on a lot of things."
jNsnwcpMIXQ,13.853,16.097,So now my bags will not be resting on gross floors.
jNsnwcpMIXQ,16.377,17.258,"Next, a laundry bar."
jNsnwcpMIXQ,17.479,19.542,I re-wear the same outfits over and over and over.
jNsnwcpMIXQ,19.522,24.829, And on my last trip I had some issues with laundry services either ruining my clothes or quite literally not cleaning them at all.
jNsnwcpMIXQ,24.929,27.813,Like this is what happened when I washed my shirt after I got it back from laundry.
jNsnwcpMIXQ,27.973,32.96,So I will be bringing this laundry bar along with my scrubba bag and will resume doing laundry myself for certain items.
jNsnwcpMIXQ,33.28,35.704,"And lastly, low top hiking shoes aka trail runners."
jNsnwcpMIXQ,35.924,41.952,"On my previous trips I always brought my high top ultra hikers because A, I absolutely love these shoes and B, they're the only hiking shoes I had."
jNsnwcpMIXQ,41.932,46.371," But after I wore them to the ground and it was time for a new pair, I decided to try out the low top version this time."
jNsnwcpMIXQ,46.491,52.195,I can get a little more wear out of them since they don't look like full on hiking boots and I've already put over 50 miles on them and absolutely love them.
t8xqAd1Kq40,0.082,2.665, Three things we learned about Scandinavian hotels that are kind of weird.
t8xqAd1Kq40,2.685,3.345,No conditioner.
t8xqAd1Kq40,3.385,4.366,We have shampoo.
t8xqAd1Kq40,4.787,5.748,We have shower gel.
t8xqAd1Kq40,5.888,8.33,My hair has been so staticky.
t8xqAd1Kq40,8.35,10.192,Number two is washcloths.
t8xqAd1Kq40,10.232,12.775,We haven't had a single washcloth in any of our hotels.
t8xqAd1Kq40,12.795,15.778,"I just keep wondering, how do people wash their bodies in the shower?"
t8xqAd1Kq40,15.798,16.919,Do they use their hand?
t8xqAd1Kq40,17.039,19.121,Or maybe these gigantic hand towels?
t8xqAd1Kq40,19.141,20.983,We may or may not have done that a time or two.
t8xqAd1Kq40,21.103,22.565,"Last but not least, separate duvets."
t8xqAd1Kq40,22.585,27.49,"When we first got here, we thought this was kind of weird, but it's really grown on us because you can still"
t8xqAd1Kq40,27.47,31.106," sleep next to each other, but if one person gets hot, you can't have your own space."
t8xqAd1Kq40,31.126,36.489,"Where we come from, there's always one sheet, one blanket, but here, there's no sheet, and you get your own blanket."
t8xqAd1Kq40,36.509,37.152,That's kinda nice.
t8xqAd1Kq40,37.212,38.036,What would you prefer?
HguX69Hwbfc,0.031,12.493," Now, if you're coming to Ireland, the breakfast you need to have is a full Irish breakfast, you know, with the hash brown, the fried eggs, the sausage, which is fantastic, the bacon, the tomatoes, and mushrooms, and beans, and toasted tea."
HguX69Hwbfc,12.995,13.577,It's amazing.
HguX69Hwbfc,13.597,14.801,You want to have that when you're here.
9QoVxaavHPA,0.031,3.737," Everyone dreams of coming to Australia saying, oh, it's going to be so sunny."
9QoVxaavHPA,4.157,5.78,No one talks about the winters.
9QoVxaavHPA,6.04,8.584,It's truly one of the worst winters you'll experience.
9QoVxaavHPA,8.664,13.432,The inside of your home is colder than the outside of your home because insulation just doesn't exist.
9QoVxaavHPA,13.612,16.977,"Yeah, have fun winding down at home in your thermals and your puffer jacket."
9QoVxaavHPA,16.957,19.685," So when it rains here, it really pisses down."
9QoVxaavHPA,19.845,22.012,So public transport just malfunctions for fun.
9QoVxaavHPA,22.112,29.192,"And when you're walking around in the rain, you better not be walking between two buildings because that is a wind tunnel, aka a deathtrap for your umbrella."
9QoVxaavHPA,29.453,32.943,I have lived in London during the winter and it was better than this.
csCrPgrvKJI,0.031,2.957, Things in countryside Japan that could send you into a coma.
csCrPgrvKJI,2.977,5.381,"The animals, because it's not all cute bowing deer."
csCrPgrvKJI,5.662,10.311,"Like, did I tell you guys, literally the first day I started working, this thing jumped out of my co-worker's bag."
csCrPgrvKJI,10.331,15.801,"Between the giant spiders, the venomous centipedes, and the murder hornets, it was hard to go outside sometimes."
csCrPgrvKJI,15.821,18.226,"And if it's not the bugs that get you, the ghosts will."
csCrPgrvKJI,18.486,22.073,You do not truly understand Japanese horror stories until you're here.
csCrPgrvKJI,22.053,27.261, It's pretty common out here to be biking along down the streets when you come across a thousand year old shrine.
csCrPgrvKJI,27.381,30.827,"And not only that, but there's also a ton of abandoned towns out in the countryside."
csCrPgrvKJI,30.907,33.872,So everything just feels kind of old and haunted.
csCrPgrvKJI,34.032,36.396,"And one thing nobody's surviving, the K trucks."
csCrPgrvKJI,36.636,40.402,"I kind of want one of these actually, but they're absolute menaces on the road."
v2ockv40MZg,0.031,1.796, Stop taking your tank off like this.
v2ockv40MZg,2.016,2.618,Let me explain.
v2ockv40MZg,3.621,5.446,"To do it the easiest way, pull out the waist."
v2ockv40MZg,5.566,7.291,"And then stick your hand in, brother."
v2ockv40MZg,7.311,9.457,Then grab it with the other hand and let it fly away.
v2ockv40MZg,9.477,11.442,And now it doesn't get stuck.
kCC6YXvYr6M,0.031,1.274, Easy but crazy.
kCC6YXvYr6M,1.695,2.597,5 push-ups.
kCC6YXvYr6M,2.617,4.842,10 squats.
kCC6YXvYr6M,6.285,7.327,5 burpees.
kCC6YXvYr6M,7.347,9.913,20 jumping jacks.
kCC6YXvYr6M,10.514,10.955,Take a break.
kCC6YXvYr6M,11.216,11.917,Rest for 1 minute.
kCC6YXvYr6M,12.258,13.962,"If you feel enough, no rest needed."
kCC6YXvYr6M,14.162,14.944,Proceed to round 2.
kCC6YXvYr6M,14.964,17.55,5 to 10 rounds for the best result.
FFgAR4Q8d9M,0.031,5.92," You might think that this bowl full of spinach has enough fiber, but this cocoa powder contains 50% more."
FFgAR4Q8d9M,5.94,11.749,"And you might think that a kilo of watermelon has enough fiber, but just one pear has nearly two times more."
FFgAR4Q8d9M,11.769,17.839,"And you might also think that your salad has enough fiber, but just one tablespoon of flaxseeds have around three times more."
FFgAR4Q8d9M,18.059,21.364,"And you definitely think that a cup of quinoa has enough fiber,"
FFgAR4Q8d9M,21.344,24.48, but this same cup of kidney beans has around 4 times more.
FFgAR4Q8d9M,24.741,31.414,All of these foods are healthy and nutritious for you but some foods that feel high in fiber have much lesser fiber than other foods.
49PbU5l5RCE,0.031,4.236," The number one question everyone asks me as a food influencer is, how do I maintain my weight?"
49PbU5l5RCE,4.316,6.339,So here are all the workouts I do in a week.
49PbU5l5RCE,6.359,9.422,"Mondays, I mostly play badminton for an hour to start off light."
49PbU5l5RCE,9.442,10.744,"On Tuesday, I had a shoot."
49PbU5l5RCE,10.824,14.929,"So after that, I hit up a lower body workout class, which was super intense."
49PbU5l5RCE,14.949,21.537,"The next day, I had back-to-back shoots, which got me so tired that I booked a light yoga class, followed by meditation to ground myself."
49PbU5l5RCE,21.557,25.862,"My badminton shoes finally arrived, so I booked a midnight baddie class to test them out."
49PbU5l5RCE,25.882,29.667,"I took a break on Friday, and then again on Saturday, I went for another baddie sesh."
tVOcxJoz6ME,0.031,4.327, stronger and then you'll progress.
tVOcxJoz6ME,4.347,6.435,"Let's go, lean forward, lean forward, lean forward, lean forward."
F9KWiQqhW2k,0.031,2.915," When you were younger, you practically jumped out of bed."
F9KWiQqhW2k,3.415,6.72,Now it feels like you need a warm-up just to make it to the bathroom.
F9KWiQqhW2k,7.36,8.782,But it doesn't have to be that way.
F9KWiQqhW2k,9.363,9.964,Here's the truth.
F9KWiQqhW2k,10.545,11.726,Your body isn't broken.
F9KWiQqhW2k,12.067,13.348,It's just been neglected.
F9KWiQqhW2k,13.969,19.056,"Modern life has tricked you into sitting too much, moving too little and forgetting how much motion matters."
F9KWiQqhW2k,19.757,23.401,"Meanwhile, your joints, fascia and nervous system are begging for movement."
F9KWiQqhW2k,23.762,27.827,"But all they get is a couch, a screen and processed food."
F9KWiQqhW2k,27.807,34.458, Chances are you've already tried hitting the gym or starting a workout routine only to lose interest or motivation after a while.
F9KWiQqhW2k,35.299,36.18,But here's the good news.
F9KWiQqhW2k,36.621,38.184,You don't need to do much right away.
F9KWiQqhW2k,38.504,39.686,You just need to begin.
F9KWiQqhW2k,39.706,42.651,A few minutes of mobility while brushing your teeth.
F9KWiQqhW2k,42.691,46.457,One set of push-ups in the morning.
F9KWiQqhW2k,47.939,51.15, or parking a little further away from home and walking the rest.
F9KWiQqhW2k,51.732,54.02,"Every step counts, no matter how small."
F9KWiQqhW2k,54.803,60.683,"If you're ready to take it further than that, check out our beginner-friendly workout programs at callymove.com."
7YItxulPbfA,0.031,3.796," This is how I would invest $10,000 if I were starting all over again."
7YItxulPbfA,3.996,9.043,"First, I'd invest $5,000 into an S&P 500 ETF like VOO or SPY."
7YItxulPbfA,9.164,13.81,This is going to be the foundation of your portfolio and it's up 83% in the past five years.
7YItxulPbfA,14.17,17.415,"Second, I'm adding another $3,000 into QQQ."
7YItxulPbfA,17.595,20.86,That's the ETF that gives you exposure to the software and tech companies.
7YItxulPbfA,20.88,23.423,"And in the past five years, it's up 135%."
7YItxulPbfA,23.403,31.87," Third, I'm gonna add $2,000 into a high yield savings account and that way I always have some cash on hand in case there are any opportunities to buy up any dips."
7YItxulPbfA,32.051,33.258,Let me know if you have any questions.
Rf_yR9KHBuY,0.031,1.292, Do you have any financial life goals?
Rf_yR9KHBuY,1.552,3.414,I want to be a billionaire by 30.
Rf_yR9KHBuY,4.435,5.896,How do you think you're going to accomplish that?
Rf_yR9KHBuY,5.956,7.097,"So, okay, here's the goal."
Rf_yR9KHBuY,7.298,8.759,I'm going into quant finance.
Rf_yR9KHBuY,8.919,11.842,"I'm going to try and break into investment banking, but on the quant side."
Rf_yR9KHBuY,11.922,16.626,"I'm going to work in it for two years, get out of the industry, start my own sustainable private equity firm."
Rf_yR9KHBuY,16.726,22.611,Then I'm going to rack up a lot of money and then start my own offshore sustainable wind farm off the coast of North Carolina.
Rf_yR9KHBuY,22.651,25.834,And then hopefully that'll make me a lot of money.
Rf_yR9KHBuY,26.875,27.256,Wow.
Rf_yR9KHBuY,27.416,28.136,Very ambitious.
Rf_yR9KHBuY,28.457,28.697,Thank you.
Rf_yR9KHBuY,28.717,30.038,How much money do you have now?
58BlOtVG_IE,0.031,8.186," I would watch YouTube videos, and then I found a channel, his name was Rob Dom, and he made a video about what he did for a living to afford a Lamborghini Diablo."
58BlOtVG_IE,8.266,10.49,And I found that video so inspirational.
58BlOtVG_IE,10.69,15.258,"Late 2016, I made my first video about just how I got started in real estate, and I kept posting."
58BlOtVG_IE,15.338,18.664,"And I realized if I post once a week, the videos do X amount of views."
58BlOtVG_IE,18.885,23.052,"If I post twice a week, I'm all of a sudden now gaining subscribers and getting more views."
58BlOtVG_IE,23.032,26.259, A lot of people in real estate were telling me I'm wasting my time on YouTube.
58BlOtVG_IE,26.28,26.56,Of course.
58BlOtVG_IE,26.58,28.344,"Because it's like, okay, sure, you're making $100 a day."
58BlOtVG_IE,28.605,31.131,But imagine if you applied that time to real estate.
58BlOtVG_IE,31.391,36.503,"And it got to a point where it started impacting my real estate work, because in real estate, I was just thinking YouTube."
58BlOtVG_IE,36.523,36.644,Sure.
58BlOtVG_IE,36.664,37.686,That's all I wanted to do.
58BlOtVG_IE,37.967,41.996,"When COVID hit was the moment that I thought, now is a good time to try this full time."
58BlOtVG_IE,42.116,44.803,"I think 2019, I made a million dollars on YouTube."
58BlOtVG_IE,44.823,46.607,"Then you decide, I'm going all in."
9kiq7Z44Q28,0.031,5.861," Whenever I charter a jet for a flight, I always ask the stewardess what the owner of the jet does for a living."
9kiq7Z44Q28,5.942,6.643,And let me tell you something.
9kiq7Z44Q28,6.743,10.81,"They never say, oh, he started a fashion brand or he started a coffee shop."
9kiq7Z44Q28,10.87,17.502,They tell me they have boring businesses and things like waste management or that they started a software company that helps mortgage brokers.
9kiq7Z44Q28,17.662,19.005,So let's really break this down.
9kiq7Z44Q28,19.065,25.897,"The owner of the $30 million jet, the one that I have to charter for $50,000 a flight is I can't afford to buy it myself."
DmMmnSIQmx8,0.031,2.358, Made in Germany might be a thing of the past.
DmMmnSIQmx8,2.578,5.306,Germany got rich by using cheap oil to power their industries.
DmMmnSIQmx8,5.566,8.214,"But with fossil fuel prices rising, they are in deep trouble."
DmMmnSIQmx8,8.455,12.646,"And while some believe this is temporary, Germany is not the sick man."
DmMmnSIQmx8,12.927,15.053,Germany is a tired man.
DmMmnSIQmx8,15.033,18.462, the trend seems to be advanced manufacturing moving away from Germany.
DmMmnSIQmx8,18.662,26.021,"The massive advantage of being German-made is that they can charge more for advanced machinery, so paying workers more doesn't necessarily impact the price."
DmMmnSIQmx8,26.341,31.033,That and the stereotype of German engineering have been keeping their manufacturing sector afloat.
DmMmnSIQmx8,31.013,37.206, But now China has started building their own manufacturing centers and are making a lot of high-end goods for a cheaper price.
DmMmnSIQmx8,37.526,49.291,"Yes, they still make a lot of crap, but China is already by far the leading manufacturer of electric vehicles, producing more than half of all the EVs made in the world, and three times as many as Germany."
DmMmnSIQmx8,49.311,54.521,"China is really hitting Germany where it hurts, in cars, machinery, and electrical engineering."
6CmzKYS-0-8,0.031,1.436, The simplest path to making money.
6CmzKYS-0-8,1.757,3.523,"One, find a service people already buy."
6CmzKYS-0-8,3.643,7.275,"Two, do it in half the time, make it twice as easy, or remove all the risk."
6CmzKYS-0-8,7.376,10.847,"Three, ask everyone you know if they know anybody who wants it."
6CmzKYS-0-8,10.888,12.894,"Four, charge more than everyone else."
tjHUzSyw65s,0.031,2.621," If you don't have confidence, build evidence."
tjHUzSyw65s,2.641,4.669,"If you don't have evidence, build skill."
tjHUzSyw65s,4.769,6.978,"If you don't have skill, build discipline."
tjHUzSyw65s,7.138,9.427,"If you don't have discipline, build accountability."
_105iytl1n4,0.031,2.859," If you're the alpha, you don't have to announce you're the alpha."
_105iytl1n4,3.179,5.345,You just show up as the alpha.
_105iytl1n4,5.486,12.906,"And the alpha, by the way, in every tribe, from animals to humans, is usually the person who's most quiet."
_105iytl1n4,13.347,14.029,He's observing.
_105iytl1n4,14.43,15.453,He's looking to protect.
_105iytl1n4,16.134,17.077,He's looking to serve.
AJpErm8H2aU,0.031,2.054," The bottom line is, no one's coming."
AJpErm8H2aU,3.817,4.038,No one.
AJpErm8H2aU,5.52,6.402,No one's coming to push you.
AJpErm8H2aU,7.363,9.186,No one's coming to tell you to turn the TV off.
AJpErm8H2aU,10.088,12.712,No one's coming to tell you to get out the door and exercise.
AJpErm8H2aU,13.313,18.061,Nobody's coming to tell you to apply for that job that you've always dreamt about.
AJpErm8H2aU,18.081,20.786,Nobody's coming to write the business plan for you.
AJpErm8H2aU,21.367,21.988,It's up to you.
Edzn0_1pdQE,0.031,3.903, Motivation is a feeling that comes and goes and it doesn't matter whether it's there or not.
Edzn0_1pdQE,4.023,5.849,Discipline is infinitely more important.
Edzn0_1pdQE,6.009,8.297,"So no matter how you feel, get up and do what you're supposed to do."
Edzn0_1pdQE,8.437,8.778,That's it.
Edzn0_1pdQE,8.999,9.761,And that's discipline.
Edzn0_1pdQE,9.781,10.624,It's not motivation.
Edzn0_1pdQE,10.824,15.8,"If you only did what you were supposed to do when you were motivated to do it, that's leaving it to chance."
Edzn0_1pdQE,16.0,18.167,"But if you're disciplined, you go do what you're supposed to do."
48BnYG54694,0.031,4.494, The distance between your dreams and your reality right now is discipline.
o4IyHSMMGuE,0.031,5.817," When you're 18 years old, you care about what everybody is thinking about you."
o4IyHSMMGuE,5.837,11.602,"When you're 40 years old, you don't care what anybody is thinking about you."
o4IyHSMMGuE,11.622,17.848,"And when you're 60 years old, you realize that nobody was thinking about you at all."
o4IyHSMMGuE,18.189,23.354,"See, the truth is people spend their days worrying and thinking about themselves."
o4IyHSMMGuE,24.014,29.7,"So if you're basing your life around what other people think about you, quit it."
Xi651UvDtcM,0.031,3.636," You like to talk about the grind, but you don't really know what the grind's like."
Xi651UvDtcM,4.116,5.518,I know what the grind is like.
Xi651UvDtcM,5.778,6.499,I was homeless.
Xi651UvDtcM,6.76,8.202,I ate out of trash cans.
Xi651UvDtcM,8.222,10.404,"Now, go on the internet right now."
Xi651UvDtcM,10.625,12.427,I'm one of the number one speakers in the world.
Xi651UvDtcM,12.567,14.289,"People say, why you grind so hard, E?"
Xi651UvDtcM,14.61,18.094,I might not be the number one motivational speaker in the world five years from now.
Xi651UvDtcM,18.355,22.08,"I got to get everything I can get right now, every book I can write."
Xi651UvDtcM,22.5,26.525,"Listen to me, my school is being paid for by the athletic department."
Xi651UvDtcM,26.545,27.827,I'm hot right now.
Xi651UvDtcM,27.807,29.051, You gotta outgrind.
7XoPJY-VM-A,0.031,3.257, I'm a psychologist and here's a rule that I live by.
7XoPJY-VM-A,3.958,17.584,"When there's a disconnect between someone's actions and their words, so when they promise one thing but repeatedly do another, if their words and actions don't align and you don't know what to believe, believe in the behavior."
fXQuHSmEa1U,2.714,6.561," When you lose your health, you lose something."
fXQuHSmEa1U,6.843,10.347,"When you lose your character, you lose everything."
YxnUmjPy-pE,0.537,2.079," OK, so hello, everyone."
YxnUmjPy-pE,3.0,5.944,"I'm Sam, and I just turned 17."
YxnUmjPy-pE,5.964,13.634,"A few years ago, before my freshman year in high school, I wanted to play snare drum in the Foxborough High School marching band."
YxnUmjPy-pE,14.716,22.186,"However, and it was a dream that I just had to accomplish, but each snare drum and harness weighed about 40 pounds each."
YxnUmjPy-pE,22.987,25.089,And I have a disease called progeria.
YxnUmjPy-pE,25.65,29.295,"So just to give you an idea, I weigh about only 50 pounds."
YxnUmjPy-pE,29.478,33.531," So, logistically, I really couldn't carry a regular-sized snare drum."
YxnUmjPy-pE,34.453,41.074,"And because of this, the band director assigned me to play pit percussion during the halftime show."
